Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
CCNL1	41.1678713622009	10.0609428168788	4.09185024818305	2.03275334690215	530	340	730	730	0.726027397260274	0.465753424657534	3.35399123946273e-24	9.45394043472597e-40	4.59483303950397e-61	8.3774617682015e-59
HIST1H2BG	2.15495982192694	8.20304038858855	0.262702573660951	-1.92849776046187	120	322	730	730	0.164383561643836	0.441095890410959	3.70768400246795e-31	1.72210647486657e-32	9.20777699604165e-61	1.63082884567035e-58
ATF7IP2	19.7725776011647	8.17698168724319	2.41807776480797	1.27386064206379	456	226	730	730	0.624657534246575	0.30958904109589	8.66376117131308e-34	1.8572628464946e-29	2.30557568327796e-60	3.97007323906669e-58
RRP12	5.59572725333831	0.784492929874004	7.13292247801014	2.83449329415602	215	47	730	730	0.294520547945205	0.0643835616438356	5.78061531421395e-32	6.72695561156991e-31	5.53744486962713e-60	9.27746506670772e-58
HIST1H4E	3.40123525575479	25.0092542957702	0.135999067206495	-2.87833133856747	125	319	730	730	0.171232876712329	0.436986301369863	1.02054648466257e-28	4.76792054188861e-34	6.91821865874953e-60	1.12857993330496e-57
RANBP2	14.781113190917	3.98377864751893	3.71032491981515	1.89154553177339	414	203	730	730	0.567123287671233	0.278082191780822	3.44389838752466e-29	3.63497998502964e-33	1.7680264041313e-59	2.81025530236152e-57
SELL	35.1012417160913	81.1809927553409	0.432382513747739	-1.2096199155695	469	626	730	730	0.642465753424658	0.857534246575342	1.33613104282878e-21	9.74390059777666e-41	1.83822089482707e-59	2.84878283175826e-57
APOC1	0.88028960469617	0.0201178714333925	43.7565975908877	5.45142865683889	146	13	730	730	0.2	0.0178082191780822	1.39376153287388e-32	1.95913902926342e-29	3.83517605400181e-59	5.798599111892e-57
DDX21	10.4254508878527	3.17645196639977	3.28210563173383	1.71462167149215	338	138	730	730	0.463013698630137	0.189041095890411	2.63455589323367e-29	3.16713063215856e-31	1.14340569127526e-57	1.68761235243222e-55
CD36	1.13505391130773	0.309585160489897	3.66637053763037	1.8743525976039	151	16	730	730	0.206849315068493	0.0219178082191781	8.9235754968191e-32	1.29030783967913e-28	1.57411832869896e-57	2.26929291153601e-55
NFE2	14.0380160753358	54.0833094952886	0.259562815336933	-1.94584437553899	341	515	730	730	0.467123287671233	0.705479452054795	2.38027771048717e-20	5.338852436331e-40	1.73606981756135e-57	2.44588563615064e-55
HIST2H4B	1.32130477691529	4.61381974944585	0.286379799963791	-1.80399836038518	82	259	730	730	0.112328767123288	0.354794520547945	1.30364478556989e-28	1.97071322847737e-29	3.37333885040759e-55	4.64696167415037e-53
CKB	7.19350118849894	4.05315306872481	1.77479139487869	0.827649463344056	268	82	730	730	0.367123287671233	0.112328767123288	5.81124422846971e-31	1.62062981188484e-26	1.22436848112962e-54	1.64996961185272e-52
ZSCAN31	2.92448061947258	14.0695135798887	0.207859397758633	-2.26632011818668	104	285	730	730	0.142465753424658	0.39041095890411	2.9925990938656e-27	6.854997834444e-30	2.65098052146448e-54	3.496474096289e-52
FAM117A	4.24988781851897	10.0787235483878	0.421669251876524	-1.24581627076282	245	447	730	730	0.335616438356164	0.612328767123288	2.85789631824836e-26	2.49635910647831e-30	9.13051159197182e-54	1.17916752830486e-51
CRIP2	3.55787261541678	28.3429741974026	0.125529261348402	-2.99390439380625	83	255	730	730	0.113698630136986	0.349315068493151	3.22669049403391e-27	2.79232050910106e-29	1.15098951064152e-53	1.45611917887077e-51
MYL4	1.06505839036435	0.187346503534899	5.68496539977299	2.50715156851456	132	11	730	730	0.180821917808219	0.0150684931506849	6.7215592192669e-30	1.57408691900049e-26	1.34989807195836e-53	1.67360362961398e-51
PSME4	9.90569260869667	2.80868487952388	3.52680810898795	1.81836308193296	307	119	730	730	0.420547945205479	0.163013698630137	1.08491980661393e-27	1.22492445743917e-27	1.66191471427134e-52	2.0200410419153e-50
HIST2H2AC	2.6589058673061	3.7540951370856	0.708268109947337	-0.497632509053936	121	317	730	730	0.165753424657534	0.434246575342466	1.55999329695967e-29	1.69709732420435e-25	3.29254050874407e-52	3.92508819494317e-50
RP11-264B14.1	0.0862368844815721	1.18251110258979	0.0729269131534634	-3.77740486071422	57	211	730	730	0.0780821917808219	0.289041095890411	2.79322167583971e-26	1.96523534369269e-28	6.78684110143198e-52	7.93804301656167e-50
S100A11	0.845083699944409	3.33708381962741	0.253240177838495	-1.98142178107713	87	259	730	730	0.119178082191781	0.354794520547945	9.3527311910081e-27	3.46361455377887e-27	3.94761630158223e-51	4.53171730620523e-49
TSPAN2	2.72513134908359	8.735182222823	0.31197189475492	-1.68051203094111	63	225	730	730	0.0863013698630137	0.308219178082192	2.18783574441487e-27	2.96525691366379e-26	7.86071180488721e-51	8.85973681427197e-49
NFKBIA	358.843453887766	95.9382056573844	3.74036028117173	1.90317724092198	681	619	730	730	0.932876712328767	0.847945205479452	2.38165525624573e-07	3.02898291958041e-45	8.56722293106399e-50	9.4836098124403e-48
SNX9	11.2514162033896	1.80032065273633	6.24967346027409	2.64378081224669	241	78	730	730	0.33013698630137	0.106849315068493	1.41501213763134e-25	2.14050433912567e-26	3.55354550316641e-49	3.86463659195238e-47
C2orf68	6.9817481710754	16.3321513143461	0.427484906103133	-1.22605461354284	242	435	730	730	0.331506849315069	0.595890410958904	3.7863645342421e-24	8.67197436996902e-28	3.84970138151824e-49	4.11453428690199e-47
SBDS	21.0039769845019	5.77974230163351	3.63406807576275	1.86158544534127	417	230	730	730	0.571232876712329	0.315068493150685	6.41311686470805e-23	1.33092886512631e-28	9.9256160159767e-49	1.04286260479728e-46
PELI1	16.7946655736956	1.37793280136083	12.1883052331067	3.60742563005192	258	93	730	730	0.353424657534247	0.127397260273973	2.02113215520363e-24	1.02643259926417e-26	2.39402732836575e-48	2.47342923475654e-46
TNFAIP3	12.1356526821464	1.46591139916844	8.27857173975896	3.04938188829172	229	71	730	730	0.313698630136986	0.0972602739726027	3.1730872871162e-25	9.48711613277586e-26	3.46271528808025e-48	3.51891345423106e-46
AL122127.25	2.37585160509869	4.25177400019026	0.558790661261011	-0.839620184850455	227	423	730	730	0.310958904109589	0.579452054794521	4.90846155454019e-25	1.05087109840659e-25	5.90550946136811e-48	5.90455695984209e-46
MEG3	27.7991207839546	9.18684684625872	3.02596976407369	1.59739757200975	424	233	730	730	0.580821917808219	0.319178082191781	8.68909461029424e-24	4.09724203423733e-26	4.0071736260852e-47	3.94293163620669e-45
HIST1H2AE	4.24321747315599	16.4363964748353	0.25815983933294	-1.95366350981802	135	309	730	730	0.184931506849315	0.423287671232877	2.78250580223427e-23	4.75271164832942e-26	1.47114842974423e-46	1.42494517437257e-44
VWF	9.61718330618178	1.36843749892662	7.02785718290047	2.81308487381431	171	37	730	730	0.234246575342466	0.0506849315068493	6.82428766990027e-25	4.96211688310565e-24	3.73522658566415e-46	3.5622568622357e-44
CALR	38.1289082072875	2.08787863441322	18.2620328494349	4.19077546363558	347	176	730	730	0.475342465753425	0.241095890410959	9.44046962180677e-21	4.19549947413365e-28	4.36267148868145e-46	4.09760614520247e-44
HIST1H2AI	0.530062452847166	4.91982562299742	0.107740089479883	-3.2143729264157	49	190	730	730	0.0671232876712329	0.26027397260274	2.57008780673273e-24	1.64453363406413e-24	4.65275029372788e-46	4.30483568221181e-44
EDARADD	1.66549309523824	3.90378089503433	0.426635905041898	-1.22892270903513	220	399	730	730	0.301369863013699	0.546575342465753	2.54997191265535e-21	1.06042621817757e-26	2.92651298166303e-45	2.66786087843075e-43
