Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
TRIAP1	15.376831691658	9.1007548598432	1.68962156749302	0.756700155479363	373	327	1107	1107	0.336946702800361	0.295392953929539	0.0396675850931267	0.00297611399159804	0.0011857892191523	0.00159442981868345
TCEANC2	1.35549224195452	0.838266456148866	1.61701835020558	0.693336050858807	86	56	1107	1107	0.0776874435411021	0.0505871725383921	0.0116482439259434	0.0101404589444256	0.00118636156801842	0.00159493349659419
PRKAR2A	4.76021343112771	4.27806207269759	1.11270321707279	0.15406884483339	205	160	1107	1107	0.185185185185185	0.14453477868112	0.0116581884750624	0.0101538824506103	0.00118868858936333	0.0015977955788692
ZBED3	14.5697929127668	11.9857576320556	1.21559215195544	0.281659265748165	362	308	1107	1107	0.327009936766034	0.278229448961156	0.0141784489112166	0.0083752736995211	0.00119205615158742	0.00160205513456967
MAD1L1	4.09933211316591	3.1903282853999	1.28492485614284	0.361683991450302	190	146	1107	1107	0.17163504968383	0.131887985546522	0.0107851010428115	0.0110197375856841	0.0011929653197416	0.00160300988065911
TRMT10B	3.83787381338079	3.21393001311924	1.19413733270937	0.255968764429618	180	136	1107	1107	0.16260162601626	0.122854561878952	0.00890871448573008	0.0133484881561302	0.00119358787208414	0.00160357924177221
RTFDC1	26.9604879912121	23.3311995706271	1.15555515735908	0.20858612466857	587	524	1107	1107	0.530261969286359	0.473351400180668	0.0083908428493766	0.0141800569658176	0.00119417309375005	0.00160409826800369
TMEM194A	1.00215702036902	0.771101578058846	1.29964332700736	0.378115745591912	81	52	1107	1107	0.0731707317073171	0.046973803071364	0.0120147222715105	0.0100070684202805	0.00120545786831596	0.00161898712872077
SLC37A1	7.58102184436126	12.1522009375608	0.623839408458871	-0.680753403040358	422	469	1107	1107	0.381210478771454	0.423667570009033	0.0461726232794163	0.00262266062776682	0.00121324405030877	0.00162917303791879
ZNF804A	0.29006456435916	1.13609089194701	0.25531809683119	-1.96963229594639	27	49	1107	1107	0.024390243902439	0.044263775971093	0.0137323070297449	0.00884606650650881	0.00121668669887072	0.0016335239264845
GCNT7	1.16093579597457	0.537029640848502	2.16177228903102	1.11221456433651	52	29	1107	1107	0.046973803071364	0.026196928635953	0.0123106028107478	0.00989611351601913	0.00121984371758855	0.00163748994380021
PDE4DIP	6.09916230460522	5.29644553852396	1.1515576362001	0.203586620752237	229	182	1107	1107	0.206865401987353	0.164408310749774	0.0118631158903444	0.0102803861653221	0.0012210179361606	0.00163879341906061
TMEM209	0.749242371179932	0.911751078926837	0.821761979225533	-0.283207512558592	91	60	1107	1107	0.0822041553748871	0.0542005420054201	0.0112202005301872	0.0109269952816306	0.00122683486582293	0.00164632665438635
PALM	1.62589186124752	0.557495201484323	2.91642305963999	1.54420001382593	71	44	1107	1107	0.0641373080397471	0.039747064137308	0.0124675750237278	0.00983724193821544	0.00122722640598552	0.00164657810086063
POLK	1.67662316944033	2.20697380602957	0.759693279938218	-0.396511035316237	115	80	1107	1107	0.103884372177055	0.0722673893405601	0.0106279381168012	0.0115680705151788	0.00122991156478352	0.00164990631569845
AGBL2	0.32532733585904	0.149510564501227	2.17594881635519	1.12164462126701	19	6	1107	1107	0.017163504968383	0.00542005420054201	0.0140940853094932	0.00874233362725185	0.00123234641408348	0.00165289769326181
