Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
PAK6	0.24696193014264	0.0477121613572815	5.17607928706735	2.37185971667022	34	7	1107	1107	0.030713640469738	0.00632339656729901	2.14869317472213e-05	2.20295243367299e-05	1.06366690490543e-08	1.80277130275322e-08
CLHC1	1.36923132385831	1.00357583415629	1.36435262514011	0.448216565764604	101	50	1107	1107	0.0912375790424571	0.04516711833785	2.13263134147469e-05	2.26125902526937e-05	1.08276001597473e-08	1.834842496751e-08
MAPKAPK3	8.7669557220468	9.45889944675194	0.926847332652135	-0.109596372610789	438	337	1107	1107	0.395663956639566	0.304426377597109	8.19406708690495e-06	5.89039667036339e-05	1.0836607225902e-08	1.8360796400548e-08
TRIP10	0.419460798312438	0.266404298919271	1.57452713794062	0.654918623421211	86	39	1107	1107	0.0776874435411021	0.035230352303523	1.86460170689987e-05	2.59086806391745e-05	1.08458451360544e-08	1.83735550021744e-08
ACPP	0.713707527007968	0.04442074846789	16.0669856232584	4.00602738082014	50	16	1107	1107	0.04516711833785	0.014453477868112	2.54737289162836e-05	1.90977930422319e-05	1.09187295311858e-08	1.84941138265157e-08
RRAGB	4.16246436606925	2.86051460444026	1.45514529434949	0.541163211533709	240	162	1107	1107	0.21680216802168	0.146341463414634	2.08700043590192e-05	2.35162705813728e-05	1.10107617366512e-08	1.86470621005241e-08
DCAF17	1.09078871959689	0.618618674848256	1.76326510004642	0.81824939455049	95	46	1107	1107	0.0858175248419151	0.041553748870822	2.500509519819e-05	1.96818744328851e-05	1.10399645058208e-08	1.86935754041747e-08
CHIC2	3.40294924942647	4.28339389374631	0.794451627340348	-0.331968715616589	247	165	1107	1107	0.223125564588979	0.149051490514905	9.22400175650469e-06	5.34286129379383e-05	1.10545052949859e-08	1.87152513719517e-08
MROH7	0.213145657798397	1.1896209076733	0.179171075780162	-2.48059033805299	16	50	1107	1107	0.014453477868112	0.04516711833785	2.54737289162836e-05	1.93704867342817e-05	1.10676400728874e-08	1.87345405198545e-08
BRK1	25.2066596886925	23.5167673160586	1.07185904210057	0.100115192518104	641	538	1107	1107	0.579042457091238	0.485998193315267	1.37570570677114e-05	3.59928741477959e-05	1.1104442371035e-08	1.87938800487598e-08
E2F8	0.303771816589201	0.0678707853000813	4.47573746562849	2.16212541429821	45	13	1107	1107	0.040650406504065	0.011743450767841	2.38070737745117e-05	2.1013208823005e-05	1.12138392279554e-08	1.89760453371457e-08
DYM	1.48418671653663	1.59166535451968	0.932474098479398	-0.100864442993276	159	94	1107	1107	0.143631436314363	0.0849141824751581	1.74756973899762e-05	2.86756769147527e-05	1.12323512208518e-08	1.90043822590258e-08
CHRM2	0	0.213914821364051	0	-Inf	0	17	1107	1107	0	0.015356820234869	1.43430654504487e-05	3.5060406629242e-05	1.12697427623952e-08	1.90646481730518e-08
MIPEP	0.886026414248405	0.529386715796572	1.67368463886593	0.743027716176796	78	34	1107	1107	0.0704607046070461	0.030713640469738	2.45990179587694e-05	2.04479376374759e-05	1.12724293197628e-08	1.90661951031799e-08
KIAA1033	6.21701157304778	8.50380913600948	0.731085502227675	-0.451887952148342	383	281	1107	1107	0.345980126467931	0.253839205058717	2.7183335436524e-06	0.000185914783955471	1.13233635810926e-08	1.91493349212472e-08
STX17	2.43701919475585	4.43492413760061	0.549506399465568	-0.863791812214258	183	112	1107	1107	0.165311653116531	0.101174345076784	1.10816224814104e-05	4.59624290768116e-05	1.14081124619485e-08	1.92896247018866e-08
PYURF	0.991965867035696	0.885786034312115	1.11987074599346	0.16333222793008	314	217	1107	1107	0.283649503161698	0.196025293586269	1.68331751996067e-06	0.000303145892411604	1.14284931749825e-08	1.93210493509801e-08
CLINT1	8.01608409638842	12.5998616264832	0.636204137316849	-0.652438340949117	490	376	1107	1107	0.44263775971093	0.339656729900632	8.38024120614563e-07	0.000609119865873406	1.14320523395378e-08	1.93240300268795e-08
MTA1	0.591487185257937	0.427958588537265	1.38211313220656	0.466875711669172	121	65	1107	1107	0.109304426377597	0.0587172538392051	2.22410777389054e-05	2.41949517184065e-05	1.20232210823422e-08	2.0320112413591e-08
TMEM192	3.75932643944364	4.85254161662168	0.774712869348016	-0.368266389304562	240	159	1107	1107	0.21680216802168	0.143631436314363	9.19868928537976e-06	5.88387856113169e-05	1.20897573083287e-08	2.04293543081999e-08
SMARCD1	1.07469356192497	0.995193251623991	1.07988429400144	0.110876740710119	182	112	1107	1107	0.164408310749774	0.101174345076784	1.4380726204392e-05	3.78766453108358e-05	1.21634439824696e-08	2.05506428717636e-08
GATC	1.79419845228592	1.44605076137648	1.24075758625378	0.311221275603999	140	79	1107	1107	0.12646793134598	0.0713640469738031	1.7501155655024e-05	3.12825925157602e-05	1.22229040341394e-08	2.06478606536827e-08
RAVER1	0.677854784785657	0.209343821179185	3.23799757245024	1.69510190404217	55	19	1107	1107	0.0496838301716351	0.017163504968383	2.49710053165248e-05	2.19584977918552e-05	1.22409074755011e-08	2.06750272415882e-08
CTD-2256P15.2	0.608081909579738	0.224082656115271	2.71365004378979	1.44023468072632	50	16	1107	1107	0.04516711833785	0.014453477868112	2.54737289162836e-05	2.17332353928098e-05	1.2353916609474e-08	2.08626257732429e-08
STX2	0.808229429245162	0.591585098938093	1.36620991755193	0.450179170116889	91	43	1107	1107	0.0822041553748871	0.038843721770551	2.34950023009872e-05	2.35804645730526e-05	1.23623681592129e-08	2.08736219436554e-08
SQRDL	0.731371231459365	3.74861426190747	0.195104425358295	-2.35768159336247	56	107	1107	1107	0.0505871725383921	0.0966576332429991	4.17225202364389e-05	1.34245063699137e-05	1.24919478217839e-08	2.10891050705433e-08
XPR1	1.28612975266849	1.14533690510551	1.12292701556667	0.167264163088693	117	62	1107	1107	0.105691056910569	0.0560072267389341	2.24929480626165e-05	2.52796923517825e-05	1.26731832622442e-08	2.13917130088618e-08
RP11-111M22.3	3.55312998697857	2.99185037465143	1.18760283504904	0.248052442447233	166	100	1107	1107	0.149954832881662	0.0903342366757001	1.98283217538015e-05	2.87466667238285e-05	1.27026300846193e-08	2.14380544439873e-08
ZBTB46	0.932068880965761	0.524425836875539	1.77731304490814	0.829697811113748	79	35	1107	1107	0.0713640469738031	0.031616982836495	2.8970547335541e-05	2.00935488759365e-05	1.29605438015536e-08	2.18699013113104e-08
ABL2	4.63766354636674	5.25866650909252	0.881908662271695	-0.181298848754407	256	173	1107	1107	0.231255645889792	0.156278229448961	9.88387157292696e-06	5.95586432061171e-05	1.30997645520345e-08	2.21013590740692e-08
INSL3	0.957723576646849	0.095459730177596	10.0327496721924	3.32664515395586	50	16	1107	1107	0.04516711833785	0.014453477868112	2.54737289162836e-05	2.31309257670702e-05	1.31116862862767e-08	2.21180045083179e-08
PTK2B	6.27479986315609	7.21379251904169	0.869833703505193	-0.201188484800289	318	231	1107	1107	0.287262872628726	0.208672086720867	2.24625523302195e-05	2.63011712132612e-05	1.31448483300935e-08	2.21704692245611e-08
EXO5	0.441165191913964	0.298046109001415	1.48019107980326	0.565783427266737	63	24	1107	1107	0.0569105691056911	0.021680216802168	2.43321973513765e-05	2.45333932018729e-05	1.32757121255552e-08	2.2387678175368e-08
MT1E	0.14433966043377	0.000857378269674665	168.350033513843	7.39532019814106	20	1	1107	1107	0.01806684733514	0.000903342366757001	1.9400155744333e-05	3.08474084198646e-05	1.33074238163871e-08	2.24376387463577e-08
TMEM238	0.656250610597125	0.546822623547323	1.20011605653754	0.26317392757971	98	48	1107	1107	0.0885275519421861	0.043360433604336	2.31424380638914e-05	2.59577235146731e-05	1.3355849339999e-08	2.25157604276166e-08
SLC16A4	0.718631730328737	0.169886688551687	4.230064971277	2.08067982245144	64	25	1107	1107	0.0578139114724481	0.022583559168925	3.01949426063926e-05	2.01028622626576e-05	1.34891541201131e-08	2.27369276481743e-08
EPHA3	0.270098313722089	0.0113155821836292	23.8695905644919	4.5771019149458	20	1	1107	1107	0.01806684733514	0.000903342366757001	1.9400155744333e-05	3.13331590295902e-05	1.35074768485778e-08	2.27642455222194e-08
RP11-277P12.20	0.197455163323745	0.0341626765647031	5.77985050292447	2.53103217759122	43	12	1107	1107	0.038843721770551	0.010840108401084	2.65265229051152e-05	2.29685680857996e-05	1.3537356222082e-08	2.28110282840063e-08
FAM47E	0.139475644315593	2.11951919960065	0.06580532242495	-3.92565191393665	20	56	1107	1107	0.01806684733514	0.0505871725383921	3.22863871445267e-05	1.89376540823612e-05	1.35830190758331e-08	2.28843880734245e-08
NIT1	0.753043219941011	1.06131950134362	0.709534894051852	-0.495054458892337	116	61	1107	1107	0.104787714543812	0.0551038843721771	2.03423289732285e-05	3.03266092150138e-05	1.36993691642722e-08	2.30767986282142e-08
LINC00667	5.39176755156823	6.8972839461208	0.781723297704844	-0.355270059824655	293	205	1107	1107	0.264679313459801	0.185185185185185	9.12819273520526e-06	6.83377413923623e-05	1.38453619196981e-08	2.33190746546699e-08
EFCC1	0.803863925348632	4.34374480252367	0.185062420076243	-2.43391613254773	68	123	1107	1107	0.0614272809394761	0.111111111111111	3.92736856264814e-05	1.62462892688357e-05	1.4147265369597e-08	2.382382659438e-08
COL24A1	1.47904302812805	3.8604680189775	0.383125315598339	-1.38411173766771	88	148	1107	1107	0.0794941282746161	0.133694670280036	4.47575136077046e-05	1.42898127124687e-05	1.41795481588107e-08	2.38744536213841e-08
PCNXL2	0.778233128733783	1.72891658158041	0.450127633122933	-1.15159396107767	23	61	1107	1107	0.020776874435411	0.0551038843721771	2.9047226559894e-05	2.22958956321005e-05	1.43500754554224e-08	2.41577940580331e-08
GTPBP10	0.934406517805181	0.430403357640099	2.17100192463305	1.11836100492926	111	58	1107	1107	0.100271002710027	0.0523938572719061	2.76961773751873e-05	2.34833747753739e-05	1.44085871179937e-08	2.42525013771111e-08
ATP5C1	58.7329451170776	49.9377525060437	1.17612311667349	0.234039089525761	830	760	1107	1107	0.749774164408311	0.686540198735321	0.0011071859596975	5.94312282746491e-07	1.45696155830377e-08	2.45197081273116e-08
D2HGDH	3.33678427068997	2.78608051731891	1.19766254060059	0.260221464400169	192	122	1107	1107	0.173441734417344	0.110207768744354	2.47180221517695e-05	2.66261147351342e-05	1.45723783524191e-08	2.45205221604124e-08
ARHGAP17	4.16314921471127	2.40258305005935	1.73278056490427	0.793088966691452	233	157	1107	1107	0.210478771454381	0.141824751580849	2.73614671214359e-05	2.40733341899844e-05	1.45837279592563e-08	2.45357825040874e-08
RP4-735C1.6	0.161616725564342	0.00321246892155069	50.3091950493729	5.65275020147424	25	3	1107	1107	0.022583559168925	0.002710027100271	2.46614745754007e-05	2.75221697791985e-05	1.50074156337842e-08	2.52446505321895e-08
RPP14	4.10624058269932	4.84926399730156	0.846776043742781	-0.239947640447832	248	167	1107	1107	0.224028906955736	0.150858175248419	1.25866832823161e-05	5.43740974275356e-05	1.51267156690204e-08	2.54413528033438e-08
PRDX6	25.2432122304201	29.90659649583	0.844068372472268	-0.244568227908161	729	614	1107	1107	0.658536585365854	0.554652213188799	6.87465233165266e-07	0.000995935451962725	1.51326550055201e-08	2.54473640519522e-08
RP11-483I13.2	1.15158817035465	0.014141766791223	81.4317042103519	6.34751869038502	25	3	1107	1107	0.022583559168925	0.002710027100271	2.46614745754007e-05	2.78576524532885e-05	1.51820254542557e-08	2.55263966029593e-08
TRMT1L	1.321402059262	0.919633676947979	1.436878718543	0.522938294543525	115	61	1107	1107	0.103884372177055	0.0551038843721771	2.76249475639052e-05	2.50056629635909e-05	1.52615432074864e-08	2.56560849014604e-08
RP11-426C22.5	0.269934230002506	0.171924937576655	1.57007025163032	0.650829112881994	43	12	1107	1107	0.038843721770551	0.010840108401084	2.65265229051152e-05	2.6075873361231e-05	1.52809931339716e-08	2.56847688061866e-08
NDFIP2	0.151508138079081	0.00383006007760449	39.5576400915991	5.30588445602734	25	3	1107	1107	0.022583559168925	0.002710027100271	2.46614745754007e-05	2.81118121182709e-05	1.53142424082445e-08	2.57366345002035e-08
ARMCX6	13.5816841675362	19.0591038347557	0.712608750405618	-0.488817895882496	430	323	1107	1107	0.38843721770551	0.291779584462511	1.92727781697294e-06	0.000361696208643228	1.53945904519037e-08	2.5867624343594e-08
DHRS7B	4.6320927193255	7.28636027190168	0.635721066001663	-0.653534198822687	243	162	1107	1107	0.219512195121951	0.146341463414634	1.03786932489811e-05	6.77058527223842e-05	1.55128328630199e-08	2.60622374723971e-08
CRYGS	1.02524168745314	0.540190327715819	1.8979267766388	0.924424333234751	41	11	1107	1107	0.037037037037037	0.00993676603432701	2.92238501574394e-05	2.41252110983363e-05	1.55620053701608e-08	2.61407674906417e-08
TNFSF12	0.114522973662201	1.1299745133038	0.101350050212515	-3.30258129131859	22	59	1107	1107	0.019873532068654	0.0532971996386631	3.46076397670412e-05	2.05159016453961e-05	1.5666832925918e-08	2.63127467140105e-08
HEXIM1	3.67931220021774	7.08086157573391	0.519613631881568	-0.944488815006187	322	227	1107	1107	0.290876242095754	0.205058717253839	3.57507297539288e-06	0.000199693781697014	1.57492505049058e-08	2.64470401408274e-08
CCDC114	0.210508751468229	0.166898543728635	1.26129771276196	0.334908845080366	25	3	1107	1107	0.022583559168925	0.002710027100271	2.46614745754007e-05	2.89750269394703e-05	1.57628772023814e-08	2.64657921068074e-08
TPRN	0.17630703384792	0.152980664746203	1.15247919820727	0.204740710815963	43	12	1107	1107	0.038843721770551	0.010840108401084	2.65265229051152e-05	2.72964890510575e-05	1.5963173840133e-08	2.67979072157889e-08
EID1	44.5355029950035	73.2315818312899	0.608146128778209	-0.71751007067047	798	842	1107	1107	0.720867208672087	0.760614272809395	0.0369847096101619	1.96202992709895e-08	1.59962172582517e-08	2.68491889986786e-08
CEP164	5.88340209801827	7.51191273455412	0.783209590675242	-0.352529663532457	282	195	1107	1107	0.254742547425474	0.176151761517615	8.3955423431333e-06	8.64934784138303e-05	1.60069198114533e-08	2.68629621356148e-08
CNNM4	0.836917095138386	0.57553475642023	1.45415561059063	0.540181661702534	92	44	1107	1107	0.0831074977416441	0.039747064137308	2.6889947197699e-05	2.71013095139226e-05	1.60614828917413e-08	2.69503266425833e-08
RNF25	0.354050608394262	0.284598037788111	1.24403741904173	0.315029880528034	72	30	1107	1107	0.0650406504065041	0.02710027100271	2.553824323062e-05	2.85476867405182e-05	1.60678996342636e-08	2.69568894690539e-08
TSTD3	0.737577966108597	0.558579482943617	1.32045302169297	0.401032975055782	78	34	1107	1107	0.0704607046070461	0.030713640469738	2.45990179587694e-05	2.96808755316438e-05	1.60902556617197e-08	2.69901871943315e-08
EPHX2	3.38723106412173	6.48544829540489	0.522281715902611	-0.937099896324336	189	118	1107	1107	0.170731707317073	0.106594399277326	1.558525137226e-05	4.72132854207047e-05	1.6210370466727e-08	2.71874319332059e-08
CNOT2	21.2957016318599	23.1387264632157	0.920348907953698	-0.119747198556736	638	525	1107	1107	0.576332429990967	0.474254742547426	1.83652996269166e-06	0.000403651302260254	1.63257373620122e-08	2.73766534098955e-08
SMN2	10.7612988483569	9.57139371781439	1.12431889917221	0.169051296235825	524	423	1107	1107	0.473351400180668	0.382113821138211	1.71810918877785e-05	4.32762726989624e-05	1.63723181559849e-08	2.74504863706158e-08
E2F6	1.12336221913319	0.87353577837497	1.28599451441242	0.362884488663623	76	33	1107	1107	0.0686540198735321	0.029810298102981	2.99222747420275e-05	2.49497565134604e-05	1.64357881205243e-08	2.75526089730011e-08
DGKQ	1.20908050895675	0.520921342615067	2.32104237251456	1.21477286049309	89	42	1107	1107	0.0803974706413731	0.037940379403794	2.8766025813202e-05	2.61989163943322e-05	1.65846547665435e-08	2.77978346523199e-08
CPD	1.68797750349242	2.10382395888546	0.802337807953598	-0.317718313007877	133	75	1107	1107	0.120144534778681	0.0677506775067751	2.98093217782808e-05	2.57408971065922e-05	1.68718944780855e-08	2.82748773660003e-08
