Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
DENR	13.1555947869013	16.1538219984569	0.814395180791147	-0.296199070641343	2059	2428	4546	4546	0.452925648922129	0.534095908490981	1.13108773744059e-14	4.05357376837352e-19	3.45991741700467e-31	1.09401473907648e-30
HMGXB3	0.752574411714634	1.07003803422706	0.703315571635969	-0.507755935489552	285	509	4546	4546	0.0626924769027717	0.111966564012319	7.78707558872237e-17	5.91913877431302e-17	3.47803389568469e-31	1.09942682046219e-30
TMEM161A	2.19787573053123	4.535262492073	0.484619299185616	-1.04507623594008	506	774	4546	4546	0.111306643202816	0.170259568851738	6.67617324830441e-16	7.02201413422346e-18	3.53665497456783e-31	1.11763584892107e-30
ZKSCAN3	0.29528084807136	1.13407305937261	0.260371980121558	-1.94135389336812	138	308	4546	4546	0.0303563572371315	0.0677518697756269	1.01214913123e-16	4.66174786037908e-17	3.55925835229816e-31	1.12445554901147e-30
COPG1	4.37784070547731	5.50039627217404	0.795913692186937	-0.329316099551626	968	1305	4546	4546	0.212934447866256	0.287065552133744	3.66107428454492e-16	1.30047280751606e-17	3.59107205599078e-31	1.13418025768375e-30
RECK	5.25843352771707	1.85476840556203	2.83508901270273	1.50339403187609	678	422	4546	4546	0.149142102947646	0.0928288605367356	1.82386033072288e-16	2.69658932020147e-17	3.70794902111339e-31	1.17075747460664e-30
SAR1A	16.145286642319	8.70050682095972	1.85567197113444	0.89194170645515	2373	2024	4546	4546	0.521997360316762	0.445226572811263	2.73739385694558e-13	1.82030650613832e-20	3.75607185279735e-31	1.18561130769947e-30
RP4-758J18.2	0.189793541640202	0.392111635506796	0.48402935402541	-1.0468335522992	159	340	4546	4546	0.0349758029036516	0.0747910250769908	5.45147241598863e-17	9.39191766831941e-17	3.85801391595885e-31	1.21743987798748e-30
ZNF714	8.86485389960804	5.40689176765184	1.63954713364976	0.713297376879086	1456	1095	4546	4546	0.320281566212055	0.240871095468544	3.96432178199319e-17	1.34708956907103e-16	4.02177874589589e-31	1.26875344994666e-30
ABI3BP	0.158690299596376	0.403472714528886	0.393311106010405	-1.3462571703408	54	178	4546	4546	0.0118785745710515	0.0391553013638363	5.01852574241978e-17	1.07565967068218e-16	4.06482283898167e-31	1.28196464342174e-30
MRPS11	11.0850920725136	15.5943115695606	0.710842028714573	-0.492399111290135	1229	1566	4546	4546	0.270347558293005	0.344478662560493	2.11167201723225e-14	2.59568327215274e-19	4.1264893031089e-31	1.30103969966925e-30
PHGDH	17.8591754671706	14.1868899341595	1.25885063957315	0.332107119967278	1893	1488	4546	4546	0.416410030796304	0.327320721513418	1.71711163368832e-18	3.19690439901698e-15	4.13258795919126e-31	1.3025888803978e-30
SAP30L-AS1	0.469704725423389	1.12490075221579	0.417552148043444	-1.25997170801802	181	369	4546	4546	0.0398152221733392	0.0811702595688517	1.01473150038193e-16	5.49551798572091e-17	4.1972317213975e-31	1.32258525945757e-30
SULT1A4	5.30074485216872	8.86601413732074	0.597872366327015	-0.742090563842535	1536	1868	4546	4546	0.337879454465464	0.410910690717114	7.12937476402428e-13	7.94692878759629e-21	4.26346176385005e-31	1.34306988381989e-30
PSMB7	40.4636048584357	52.3391464129988	0.773104026938931	-0.371265542249109	2875	3154	4546	4546	0.632424109106907	0.693796744390673	6.76091471560483e-10	8.38609075239588e-24	4.26650683898578e-31	1.34364403058145e-30
TLE4	19.2417710971363	10.2628542160964	1.87489471174181	0.906809580614942	2153	1797	4546	4546	0.473603167619886	0.395292564892213	5.69030715909016e-14	1.04118895165772e-19	4.4557292576052e-31	1.40283357978627e-30
RASSF9	0.0300809362785743	0.658354676936079	0.0456910801007264	-4.45194364266405	10	91	4546	4546	0.0021997360316762	0.0200175978882534	1.18283443035074e-17	5.11970283564468e-16	4.5529812396342e-31	1.43304171835107e-30
PROSER2	1.65306686394308	3.07473277013136	0.53762944214253	-0.89531594845606	398	647	4546	4546	0.0875494940607127	0.14232292124945	2.63820854483225e-16	2.35980478095034e-17	4.67899404166837e-31	1.47228237938669e-30
MED11	1.1320828143861	2.21458299294208	0.511194576131973	-0.968055565779719	258	472	4546	4546	0.0567531896172459	0.103827540695117	1.28471028054073e-16	4.95741011945328e-17	4.78515413153314e-31	1.50525555408359e-30
MED24	3.40260408155662	4.50384077895279	0.755489425260674	-0.404516533052196	881	1201	4546	4546	0.193796744390673	0.264188297404311	1.53356263388459e-15	4.18582155044648e-18	4.82250359802914e-31	1.5165704448051e-30
RP11-654A16.3	0.373509249528652	0.821553110209049	0.454637983700908	-1.13720987265918	78	218	4546	4546	0.0171579410470744	0.0479542454905411	5.71973666797611e-17	1.12473177929106e-16	4.83284408281925e-31	1.51938756619755e-30
DNAJB9	1.51626735003934	2.48474668914682	0.610230152096499	-0.712574628170766	387	636	4546	4546	0.0851297844258689	0.139903211614606	1.37674446649753e-16	4.70196908754821e-17	4.86267050001944e-31	1.52832746541932e-30
FAM109A	0.185824287589306	0.56770838205838	0.327323487660248	-1.61121096572444	61	190	4546	4546	0.0134183897932248	0.0417949846018478	5.21330381261253e-17	1.25864195868515e-16	4.92809034140883e-31	1.54844599606702e-30
MDH2	28.3250483448676	34.7855052158406	0.814277331006509	-0.296407855770253	2694	3010	4546	4546	0.592608886933568	0.662120545534536	8.13486058430243e-12	8.76303029048596e-22	5.34796297806551e-31	1.67989314352438e-30
LHPP	1.80288991554177	2.72010887705665	0.662800644028859	-0.593353090492164	450	714	4546	4546	0.098988121425429	0.157061152661681	1.17083193954891e-16	6.10443073517795e-17	5.36177472341965e-31	1.6837504567173e-30
SPDL1	0.384878549361825	0.948062440154627	0.4059632921425	-1.30057881239856	159	338	4546	4546	0.0349758029036516	0.0743510778706555	1.06031528065147e-16	6.84768913247981e-17	5.44573758464497e-31	1.70962872872987e-30
RP11-463J10.2	0.675627908545053	0.0860115714963543	7.8550815522966	2.9736262538114	140	33	4546	4546	0.0307963044434668	0.00725912890453146	3.62324937482075e-17	2.00603514625552e-16	5.45140332326552e-31	1.7109187300403e-30
MIPEP	0.695710385555789	1.79137761765057	0.388366125992033	-1.36451072315834	203	398	4546	4546	0.0446546414430268	0.0875494940607127	1.49699044835411e-16	4.88121027663002e-17	5.48008506278171e-31	1.71942948686936e-30
SLC27A5	1.51740406930154	3.12170452846587	0.486081900277491	-1.04072867988463	394	639	4546	4546	0.0866695996480422	0.140563132424109	5.62983757156582e-16	1.30774657603214e-17	5.52098499856328e-31	1.73176786869889e-30
ATP5O	35.7078981495342	39.4789863722329	0.904478595596593	-0.144841732883336	3139	3519	4546	4546	0.690497140343159	0.774087109546854	2.45009730816999e-19	3.05584892681578e-14	5.61325822780082e-31	1.76020887822422e-30
RNF144A	1.31425404442016	2.20315178530825	0.596533590279293	-0.745324717796788	343	581	4546	4546	0.0754509458864936	0.127804663440387	1.37513095840245e-16	5.74201359302429e-17	5.91561569970352e-31	1.85449321607078e-30
ATPAF1	7.43924466708842	11.7512169936166	0.633061637031253	-0.659582122705722	1125	1479	4546	4546	0.247470303563572	0.32534095908491	2.43604586635071e-16	3.34048074122498e-17	6.09412565082239e-31	1.90990975272851e-30
MYCBP	2.43000094766458	4.31274446394897	0.563446540359024	-0.827649360475052	501	769	4546	4546	0.110206775186978	0.1691597008359	5.34933382808695e-16	1.55196647462055e-17	6.21559896242025e-31	1.94742440695442e-30
ALKBH4	2.08259994754841	4.43394276002242	0.469694820223137	-1.09020441119074	380	622	4546	4546	0.0835899692036956	0.13682358117026	5.22683855409054e-16	1.60982888251927e-17	6.29856742688976e-31	1.97285707007539e-30
ZNF322	0.332784729104669	0.763302732290097	0.435980005084265	-1.1976661232504	61	190	4546	4546	0.0134183897932248	0.0417949846018478	5.21330381261253e-17	1.65637315837633e-16	6.46165628450116e-31	2.02336365307556e-30
ZNF584	0.392985196053709	1.40784918308709	0.279138703758013	-1.84094592086496	181	368	4546	4546	0.0398152221733392	0.0809502859656841	1.39557298184672e-16	6.23111017541066e-17	6.50653693089051e-31	2.0368370096103e-30
RP11-318M2.2	1.81206439948387	0.596380730305823	3.03843552851656	1.60332868017449	379	189	4546	4546	0.0833699956005279	0.0415750109986802	1.42050931503748e-16	6.19089541779454e-17	6.57906609167506e-31	2.05895545027336e-30
TMEM168	1.39138150687924	1.78710060392375	0.778569210834763	-0.361102801646155	361	603	4546	4546	0.0794104707435108	0.132644082710075	1.60933752328359e-16	5.56284509050398e-17	6.69587348038607e-31	2.09491447261381e-30
TADA3	0.990551227110228	1.38586546897822	0.714752801973303	-0.484483724368077	610	903	4546	4546	0.134183897932248	0.198636163660361	1.67104597993068e-16	5.4872504763034e-17	6.85594398249474e-31	2.14438475559475e-30
B3GNT5	3.24647633173856	1.19021344577199	2.72764212441984	1.44765437046409	722	462	4546	4546	0.158820941487022	0.10162780466344	5.54047523237976e-16	1.65624973921136e-17	6.86108038096802e-31	2.14538078142872e-30
MGME1	3.08105756589643	4.4524157911527	0.691996819348888	-0.531162688123818	638	932	4546	4546	0.140343158820941	0.205015398152222	3.65526161487206e-16	2.54883339257273e-17	6.96452452987374e-31	2.17710719874409e-30
