"gene"	"Mean_cloneA"	"Mean_cloneB_del7"	"log2fc"	"ExpressingCells_cloneA"	"nCells_cloneA"	"nCells_cloneB_del7"	"ExpressingCells_cloneB_del7"	"ExpressingFraction_cloneA"	"ExpressingFraction_cloneB_del7"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"RPL34"	"RPL34"	3.54564311121878	4.70661948697377	1.16097637575499	584	248	474	228	0.811643835616438	0.919354838709677	0.000139211633813069	6.28301399526454e-05	4.2933668266632e-15	1.18035158351914e-17	2.25668468374066e-15	"up_in_cloneBdel7"	"RPL34"
"CPSF6"	"CPSF6"	0.92036983675124	1.56016306410115	0.639793227349914	584	248	167	130	0.285958904109589	0.524193548387097	9.08126586638501e-11	1.05735428425023e-10	3.0410546239629e-09	1.40133949545165e-17	2.6302962484793e-15	"up_in_cloneBdel7"	"CPSF6"
"MT-ND3"	"MT-ND3"	1.2710995227259	2.13055104774261	0.859451525016715	584	248	188	140	0.321917808219178	0.564516129032258	9.65385573414812e-11	9.09031361518082e-11	3.58226480106288e-09	1.41876064399831e-17	2.6302962484793e-15	"up_in_cloneBdel7"	"MT-ND3"
"SNRPF"	"SNRPF"	0.617375921582949	1.21301687225554	0.595640950672587	584	248	122	105	0.208904109589041	0.423387096774194	3.653105660229e-10	6.03836148512196e-10	1.00048848289405e-09	2.59477307375435e-17	4.73875273588928e-15	"up_in_cloneBdel7"	"SNRPF"
"PRDX6"	"PRDX6"	1.37058886835705	2.24112182621047	0.870532957853416	584	248	192	143	0.328767123287671	0.576612903225806	4.38614567427994e-11	3.80490961611123e-11	1.8990995950898e-08	3.09062280778408e-17	5.561303040595e-15	"up_in_cloneBdel7"	"PRDX6"
"LDHB"	"LDHB"	2.51484892580861	3.74256430840709	1.22771538259848	584	248	312	190	0.534246575342466	0.766129032258065	6.55534965841072e-10	2.54637872395484e-10	3.14296732216471e-09	3.41490124052193e-17	6.05575819985889e-15	"up_in_cloneBdel7"	"LDHB"
"RPL27"	"RPL27"	3.48411482578912	4.55985465235922	1.0757398265701	584	248	461	229	0.789383561643836	0.923387096774194	4.25215312795041e-06	9.93628032031403e-07	9.20351538758215e-13	3.88985529220127e-17	6.7445283227682e-15	"up_in_cloneBdel7"	"RPL27"
"RPL36"	"RPL36"	1.38449550033775	2.15702771386296	0.77253221352521	584	248	284	177	0.486301369863014	0.713709677419355	2.5231719334118e-09	1.34691839251116e-09	6.83182612829685e-10	3.9135461827112e-17	6.7445283227682e-15	"up_in_cloneBdel7"	"RPL36"
"S100A10"	"S100A10"	2.27568286307165	3.79170376360274	1.51602090053108	584	248	278	170	0.476027397260274	0.685483870967742	4.56505722183445e-08	2.54261312525741e-08	3.68544640417736e-11	3.98361306667091e-17	6.76992909497017e-15	"up_in_cloneBdel7"	"S100A10"
"RPL5"	"RPL5"	3.91711702294792	5.21218931908166	1.29507229613373	584	248	459	229	0.785958904109589	0.923387096774194	2.69645327598729e-06	6.61708745605417e-07	1.81528819059323e-12	5.07662414378709e-17	8.50925657854504e-15	"up_in_cloneBdel7"	"RPL5"
"ELMSAN1"	"ELMSAN1"	1.71963980628603	0.766652359815983	-0.952987446470043	584	248	309	80	0.529109589041096	0.32258064516129	7.22942108487818e-08	4.10298798821949e-08	3.07798144010398e-11	5.33106244320096e-17	8.81498379121716e-15	"up_in_cloneA"	"ELMSAN1"
"TNFRSF10D"	"TNFRSF10D"	0.120577045847095	0.496565849838818	0.375988803991723	584	248	27	44	0.0462328767123288	0.17741935483871	1.3642335113701e-09	5.8987778582281e-09	5.35183882053331e-10	1.30371555983384e-16	2.12696847868358e-14	"NA"	"TNFRSF10D"
"SLC25A5"	"SLC25A5"	1.40585694284802	2.31381903566781	0.907962092819782	584	248	215	149	0.368150684931507	0.600806451612903	9.8774915989662e-10	7.87225178667039e-10	4.10055608244514e-09	1.33237087823248e-16	2.1451171139543e-14	"up_in_cloneBdel7"	"SLC25A5"
"RPL12"	"RPL12"	2.7929729878041	3.97164764834751	1.17867466054341	584	248	354	203	0.606164383561644	0.818548387096774	4.19389519946715e-09	1.11505856363372e-09	3.16584222721306e-09	1.45387873213965e-16	2.31034547616374e-14	"up_in_cloneBdel7"	"RPL12"
"GNG5"	"GNG5"	1.89433816009573	2.92692012664754	1.03258196655181	584	248	286	177	0.48972602739726	0.713709677419355	4.30033369578633e-09	2.16977681807593e-09	1.90931810181196e-09	1.69958798040831e-16	2.66617417029181e-14	"up_in_cloneBdel7"	"GNG5"
"UBL5"	"UBL5"	1.86577100073417	2.88436087771217	1.01858987697799	584	248	282	174	0.482876712328767	0.701612903225806	1.04871822772278e-08	5.90740514676065e-09	7.83795631181793e-10	1.89439620109931e-16	2.9341559388166e-14	"up_in_cloneBdel7"	"UBL5"
"JPX"	"JPX"	0.705730322950271	1.53213901602982	0.826408693079546	584	248	120	100	0.205479452054795	0.403225806451613	5.54614679493808e-09	1.00797882425275e-08	4.77767527183056e-10	1.96843861412181e-16	3.01072686029931e-14	"up_in_cloneBdel7"	"JPX"
"GTF3C6"	"GTF3C6"	1.70038303674393	2.72285214843391	1.02246911168999	584	248	243	162	0.416095890410959	0.653225806451613	6.26287589568476e-10	3.98678706075179e-10	1.28425822851252e-08	2.08967043005598e-16	3.15669226940309e-14	"up_in_cloneBdel7"	"GTF3C6"
"KMT2E"	"KMT2E"	4.1943447992137	2.97213710616362	-1.22220769305008	584	248	479	170	0.820205479452055	0.685483870967742	2.67204451024637e-05	3.42066577716384e-05	1.73649378157505e-13	2.41547651707429e-16	3.60436227596598e-14	"up_in_cloneA"	"KMT2E"
"KRT10"	"KRT10"	1.53042745217658	2.53604222653224	1.00561477435565	584	248	212	147	0.363013698630137	0.592741935483871	1.51095948168125e-09	1.21445353146331e-09	5.56173570078806e-09	2.73801388470834e-16	4.03642625220376e-14	"up_in_cloneBdel7"	"KRT10"
"RPS20"	"RPS20"	2.75431497950243	3.82580502266428	1.07149004316185	584	248	389	210	0.666095890410959	0.846774193548387	1.74578000596645e-07	5.22460789666998e-08	1.34722039450747e-10	2.85032851265972e-16	4.15197853344099e-14	"up_in_cloneBdel7"	"RPS20"
"TCEA1"	"TCEA1"	0.568647446477238	1.11035294550132	0.541705499024084	584	248	112	98	0.191780821917808	0.395161290322581	1.1287233214885e-09	1.9939199164544e-09	4.26927602736402e-09	3.4309999278441e-16	4.91458529099576e-14	"up_in_cloneBdel7"	"TCEA1"
"UPF2"	"UPF2"	2.3158693901598	3.50612174013918	1.19025234997938	584	248	360	197	0.616438356164384	0.794354838709677	9.12540907383357e-07	3.57330336521392e-07	2.39878672454521e-11	3.45418711201075e-16	4.91458529099576e-14	"up_in_cloneBdel7"	"UPF2"
"HLA-DMA"	"HLA-DMA"	2.98832298164054	4.05683850122088	1.06851551958034	584	248	359	211	0.61472602739726	0.850806451612903	3.48553717023511e-11	4.09389050567951e-12	2.30512584349482e-06	3.79382635176693e-16	5.33577692416324e-14	"up_in_cloneBdel7"	"HLA-DMA"
"RPL38"	"RPL38"	1.60210467781223	2.61580528921056	1.01370061139833	584	248	289	173	0.49486301369863	0.69758064516129	1.12065565576499e-07	8.04736992199109e-08	1.2427486712387e-10	4.01473062141579e-16	5.58230044132314e-14	"up_in_cloneBdel7"	"RPL38"
"FUBP1"	"FUBP1"	0.904624001882904	1.58085376558468	0.67622976370178	584	248	168	126	0.287671232876712	0.508064516129032	1.92685155189255e-09	2.14934846986285e-09	6.00777090271665e-09	5.15069538468514e-16	7.08133805921431e-14	"up_in_cloneBdel7"	"FUBP1"
"SLC38A2"	"SLC38A2"	1.33200094709927	2.25275134723617	0.920750400136909	584	248	225	149	0.38527397260274	0.600806451612903	1.69634185317494e-08	1.44467122917887e-08	1.16618032401634e-09	6.67536098452716e-16	9.0755241118527e-14	"up_in_cloneBdel7"	"SLC38A2"
"UQCRB"	"UQCRB"	1.04471711014589	1.82490004691366	0.780182936767771	584	248	170	126	0.291095890410959	0.508064516129032	3.62817000642683e-09	3.80746984872071e-09	4.5406058337266e-09	6.84553105194919e-16	9.20460636831322e-14	"up_in_cloneBdel7"	"UQCRB"
"ROMO1"	"ROMO1"	1.19032393179051	2.16834343869218	0.978019506901671	584	248	221	144	0.378424657534247	0.580645161290323	1.15605254670074e-07	1.18117666169413e-07	2.06281758337153e-10	9.56428587810259e-16	1.27205002178764e-13	"up_in_cloneBdel7"	"ROMO1"
"PSME1"	"PSME1"	2.3254444815082	3.45831656974142	1.13287208823322	584	248	309	186	0.529109589041096	0.75	4.63946010896744e-09	2.16621198258726e-09	1.31833454611313e-08	1.11646041868198e-15	1.4689257723648e-13	"up_in_cloneBdel7"	"PSME1"
"RPL10A"	"RPL10A"	3.21787644453611	4.27637125029079	1.05849480575469	584	248	414	224	0.708904109589041	0.903225806451613	2.32062636984974e-09	1.99926195471028e-10	1.50837679190838e-07	1.17731003891154e-15	1.53250698256613e-13	"up_in_cloneBdel7"	"RPL10A"
