"gene"	"Mean_pre-TP53-sAML"	"Mean_CP-TP53-MPN"	"log2fc"	"ExpressingCells_pre-TP53-sAML"	"nCells_pre-TP53-sAML"	"nCells_CP-TP53-MPN"	"ExpressingCells_CP-TP53-MPN"	"ExpressingFraction_pre-TP53-sAML"	"ExpressingFraction_CP-TP53-MPN"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"NDUFB6"	3.32952104772129	1.245392227959	-2.08412881976229	296	273	201	90	0.679054054054054	0.32967032967033	1.64430032855047e-16	5.35674256133659e-17	1.28546057805199e-21	5.96102216097314e-36	1.59167457481765e-33	"up_in_pre-TP53-sAML"	NA
"DDX3Y"	0.00833390534504006	1.17520676407493	1.16687285872989	296	273	2	65	0.00675675675675676	0.238095238095238	3.66060878926863e-17	1.77030118203338e-20	1.04577606841805e-17	1.58437075957564e-35	4.17331822238491e-33	"up_in_CP-TP53-MPN"	NA
"WHAMM"	0.843247614762358	2.55101445373561	1.70776683897325	296	273	76	169	0.256756756756757	0.619047619047619	5.89137315503572e-18	2.16963899590099e-18	1.09661899884408e-19	2.03020160160002e-35	5.27635861578501e-33	"up_in_CP-TP53-MPN"	NA
"PPP1R16B"	0.0753260604660759	1.02208355836507	0.946757497898995	296	273	9	81	0.0304054054054054	0.296703296703297	9.33422862973966e-18	1.22018920811261e-19	2.52725712146339e-18	2.6233155241395e-35	6.72811397322725e-33	"NA"	NA
"ETFA"	3.06666606170782	1.08280423260067	-1.98386182910715	296	273	189	77	0.638513513513513	0.282051282051282	3.45872729503984e-17	1.00115068822479e-17	3.18557398612137e-20	2.71199750061388e-35	6.86522795869685e-33	"up_in_pre-TP53-sAML"	NA
"ZNF880"	0.66967805588198	2.26130008399097	1.59162202810899	296	273	48	140	0.162162162162162	0.512820512820513	1.42847212947194e-18	2.81173506370282e-19	1.15522819040281e-18	2.7615362873144e-35	6.90100837337594e-33	"up_in_CP-TP53-MPN"	NA
"MESDC2"	2.42662165380975	0.618429350983832	-1.80819230282592	296	273	150	45	0.506756756756757	0.164835164835165	1.94681391434154e-17	3.07658014534507e-18	1.17692264138748e-19	3.07446463628178e-35	7.58575502410182e-33	"up_in_pre-TP53-sAML"	NA
"GFI1B"	1.7683910095973	0.281100214061577	-1.48729079553573	296	273	116	22	0.391891891891892	0.0805860805860806	1.1522621628524e-17	3.6091708640683e-19	1.12247310819107e-18	3.43527897492282e-35	8.37005722239945e-33	"up_in_pre-TP53-sAML"	NA
"C11orf73"	2.50222451945002	0.634356143394988	-1.86786837605503	296	273	146	43	0.493243243243243	0.157509157509158	4.25046038841898e-17	7.60126862245123e-18	5.49705848903863e-20	3.54190263093791e-35	8.52330445459775e-33	"up_in_pre-TP53-sAML"	NA
"DYNC1H1"	2.25377589483325	4.43947506414201	2.18569916930876	296	273	143	226	0.483108108108108	0.827838827838828	1.64009357297019e-17	2.49619940366203e-18	2.26260289687636e-19	4.77046952958926e-35	1.13397551305797e-32	"up_in_CP-TP53-MPN"	NA
"FBRS"	0.631740123289015	1.93343012180896	1.30168999851995	296	273	50	143	0.168918918918919	0.523809523809524	9.19051690983791e-19	2.00984587779333e-19	4.95576613136275e-18	8.35641866089021e-35	1.96244954865147e-32	"up_in_CP-TP53-MPN"	NA
"ZNF326"	1.3116435916005	3.31918589266974	2.00754230106924	296	273	104	192	0.351351351351351	0.703296703296703	9.47194464646273e-17	2.67448028726667e-17	4.54476279145755e-20	1.01733802158771e-34	2.36070865676042e-32	"up_in_CP-TP53-MPN"	NA
"SCN9A"	2.31640615780462	0.592807606791217	-1.7235985510134	296	273	156	50	0.527027027027027	0.183150183150183	3.179952626897e-17	8.31436470992692e-18	3.14095601875289e-19	2.16580332836098e-34	4.96656923251908e-32	"up_in_pre-TP53-sAML"	NA
"FLI1"	1.90138286860672	0.46261384160306	-1.43876902700366	296	273	144	41	0.486486486486487	0.15018315018315	2.53359865200088e-17	4.61554371920308e-18	8.92667640043458e-19	3.39818043944151e-34	7.70201547972023e-32	"up_in_pre-TP53-sAML"	NA
"ADRBK1"	0.869878490084318	2.50858979325838	1.63871130317406	296	273	117	195	0.39527027027027	0.714285714285714	4.19020791565144e-14	1.95791361647315e-14	4.53320898332615e-22	7.25225672866367e-34	1.62483894431163e-31	"up_in_CP-TP53-MPN"	NA
"ERCC-00136"	2.36417346583337	4.76876566848233	2.40459220264896	296	273	128	216	0.432432432432432	0.791208791208791	4.77078496777124e-18	8.59258670332227e-19	1.09476655073686e-17	7.68086728358217e-34	1.70131210331345e-31	"up_in_CP-TP53-MPN"	NA
"SMCHD1"	1.52167114108105	3.75356130392422	2.23189016284318	296	273	117	200	0.39527027027027	0.732600732600733	1.16093750955023e-15	5.195159303313e-16	1.83219768423524e-20	7.77093429720673e-34	1.70192192495678e-31	"up_in_CP-TP53-MPN"	NA
"RNF145"	0.979010931540152	2.73469426134172	1.75568332980157	296	273	121	201	0.408783783783784	0.736263736263736	6.73922629197054e-15	2.18355081775078e-15	4.62767384946402e-21	8.24346976276355e-34	1.78535236239763e-31	"up_in_CP-TP53-MPN"	NA
"FTH1"	2.63940418978186	4.40103000210891	1.76162581232705	296	273	264	249	0.891891891891892	0.912087912087912	0.504694435119643	0.4819219677177	2.12723732427999e-35	8.36180139219129e-34	1.7910794806219e-31	"up_in_CP-TP53-MPN"	NA
"SELL"	4.01241334774775	1.78956329667048	-2.22285005107727	296	273	226	116	0.763513513513513	0.424908424908425	3.49854770151082e-16	1.76712545245835e-16	6.87055944504448e-20	9.88245898449463e-34	2.09379228832358e-31	"up_in_pre-TP53-sAML"	NA
"IFI44L"	2.44176506267621	0.630451647932144	-1.81131341474407	296	273	162	57	0.547297297297297	0.208791208791209	2.31516506856874e-16	5.61465010211186e-17	2.58439846130964e-19	1.17851600319606e-33	2.47006816497823e-31	"up_in_pre-TP53-sAML"	NA
"ABRACL"	3.34674940608316	1.21445516096076	-2.1322942451224	296	273	198	97	0.668918918918919	0.355311355311355	1.40645113668021e-13	5.79957280258973e-14	3.70964290044066e-22	1.73888273484204e-33	3.60577683697244e-31	"up_in_pre-TP53-sAML"	NA
"RP11-264B14.2"	0.790441400121595	0.268569088626075	-0.52187231149552	296	273	161	52	0.543918918918919	0.19047619047619	6.89253050600366e-18	1.42284454052456e-18	1.54625007726501e-17	1.77770309876641e-33	3.64747250538471e-31	"NA"	NA
"ATP11B"	0.397844949069785	1.46848826666737	1.07064331759758	296	273	47	135	0.158783783783784	0.494505494505495	2.10657840882447e-17	7.26899610582149e-18	3.68901777432628e-18	2.16143527926243e-33	4.38861421493575e-31	"up_in_CP-TP53-MPN"	NA
"EEF2"	2.58886262819315	4.30305893819533	1.71419631000218	296	273	236	255	0.797297297297297	0.934065934065934	3.894087668524e-06	1.47536967576314e-06	3.46924644732758e-29	4.0925682456327e-33	8.22395260246108e-31	"up_in_CP-TP53-MPN"	NA
"REL"	1.16565753490029	2.72417511795925	1.55851758305896	296	273	82	177	0.277027027027027	0.648351648351648	1.34700927887718e-18	3.77838742795455e-19	1.39780385103361e-16	4.22126204398397e-33	8.39600405727914e-31	"up_in_CP-TP53-MPN"	NA
"ERCC-00113"	2.15867443227218	4.18987637337838	2.0312019411062	296	273	119	211	0.402027027027027	0.772893772893773	7.34261109760344e-19	1.56512309250503e-19	6.75926851700876e-16	8.38197999434241e-33	1.65031872777497e-30	"up_in_CP-TP53-MPN"	NA
